test_quarter,train_quarters,train_bars,test_bars,wf_entry,wf_exit,wf_gap,train_pnl_is,train_trades_is,oos_pnl,oos_trades,oos_max_dd,baseline_08_07_oos,fixed_13_11_oos
2025-Q3,2025-Q2,1294,5152,1.7,1.4,0.3,16855.7790070467,11,43020.33755035915,36,-6878.479620043643,130078.10621449935,100221.45633207912
2025-Q4,"2025-Q2,2025-Q3",6446,5008,0.9,0.7,0.2,146884.2258309704,129,131841.04846433224,104,-14794.962224674822,126147.7419147041,129380.7728233427
2026-Q1,"2025-Q2,2025-Q3,2025-Q4",11454,4644,0.9,0.7,0.2,282764.58263362775,233,-4805.107423402202,47,-41845.61485433907,-7917.432438766547,46791.09680262928
2026-Q2,"2025-Q2,2025-Q3,2025-Q4,2026-Q1",16098,3823,1.3,1.1,0.2,282667.4403645959,275,57184.29709128805,34,-19756.537521349313,54250.2747359271,57184.29709128805
