test_quarter,train_quarters,wf_entry,wf_exit,oos_pnl,train_pnl_is
2025-Q3,2025-Q2,1.7,1.4,43020.33755035915,16855.7790070467
2025-Q4,"2025-Q2,2025-Q3",0.9,0.7,131841.04846433224,146884.2258309704
2026-Q1,"2025-Q2,2025-Q3,2025-Q4",0.9,0.7,-4805.107423402202,282764.58263362775
2026-Q2,"2025-Q2,2025-Q3,2025-Q4,2026-Q1",1.3,1.1,57184.29709128805,282667.4403645959
