year,bars,pnl_0.8/0.7,trades_0.8/0.7,pnl_1.3/1.1,trades_1.3/1.1,pnl_1.4/1.3,trades_1.4/1.3
2023,8085,170887.98127556362,282,149338.5607069574,171,123178.1081936711,190
2024,14057,270655.1983826759,787,183299.05146477456,390,148416.02247332886,430
2025,19074,443275.4534182378,446,353589.7561635926,264,316601.13338304026,347
2026,8467,56577.2065064659,104,112568.40912559994,116,146744.15976098654,187
