n_quarters,observed_sum,observed_mean,observed_neg_quarters,boot_mean,boot_median,boot_p5,boot_p95,prob_sum_negative,prob_mean_quarter_negative,preset
13,910309.901621319,70023.83858625531,1,913057.297777755,912902.9286169615,682668.7462994221,1138510.2211083996,0.0,0.07692307692307693,0.8/0.7
13,777624.9532425848,59817.30409558345,0,776531.5076042425,770196.3987710719,638133.2602752231,936474.7637571475,0.0,0.0,1.3/1.1
13,716559.9922045094,55119.99940034688,0,716603.239511095,711293.722575913,590934.8144961448,856883.3228882158,0.0,0.0,1.4/1.3
12,740233.5087748147,61686.125731234555,1,741272.1747677735,740325.3892373086,518962.8375756619,967996.5969329462,0.0,0.08333333333333333,rolling_WF
12,763837.1575287932,63653.09646073277,1,764143.2699697334,763794.4578105041,504010.8090656466,1027801.9613902513,0.0,0.08333333333333333,expanding_WF
