label,pnl_3y,pnl_255d,oos_sum,oos_mean,oos_pos,oos_q
Z 0.85/0.65 off (best score),1033460.5849271611,194621.3627272468,869603.7108019996,79054.88280018177,10,11
Z 0.7/0.5 off (current),1028649.1532573246,204434.80055413875,833357.226094924,75759.74782681128,10,11
Z 0.8/0.7 off (old APK),950305.755327006,193726.94364594042,793501.7397950696,72136.52179955177,10,11
Z 0.85/0.65 + red always,839019.958632975,171792.9571535895,732728.4515090196,66611.67740991087,11,11
Z 0.7/0.5 + red losing,597473.9615774606,142002.93556743168,591966.436315828,53815.130574166185,10,11
Pct 30d p90 band=0.2,489381.1029583661,77247.55850390573,389699.55459034204,35427.23223548564,9,11
