n_quarters,observed_sum,observed_mean,observed_neg_quarters,boot_mean,boot_median,boot_p5,boot_p95,prob_sum_negative,prob_mean_quarter_negative,preset
5,296813.9922930844,59362.798458616875,2,295552.6912315857,295056.36229877616,89093.72076652848,508464.62811943557,0.0107,0.4,0.8/0.7
5,336575.0238233119,67315.00476466239,0,336165.8486469659,336575.02382331196,167154.49253315094,492117.71236394544,0.0,0.0,1.3/1.1
5,328442.1787337791,65688.43574675583,0,328823.0194393856,328442.1787337792,207836.22538150667,450616.4616344385,0.0,0.0,1.4/1.3
4,181334.9488896972,45333.7372224243,1,180494.27854791118,181334.9488896972,32424.59386480497,351358.47782103845,0.0362,0.25,rolling_WF
